add("Ajani Goldmane|Ajani's Avatar|Serra? Is that you?
Ajani Steadfast|Ajani's Forcefield|Shields up!
Ajani Unyielding|Ajani's Mentoring|Today's lesson: How to be strong.
Ajani Vengeant|Ajani's Tantrum|Look Ma! No lands!
Ajani, Caller of the Pride|Ajani's Menagerie|You're a crazy cat lady now!
Ajani, Mentor of Heroes|Ajani's Vitality|Do sta let!
Ajani, Valiant Protector|Ajani's Valiant Smash|Sometimes, life can be brutal.
Arlinn, Embraced by the Moon|Arlinn's Hunt|Fair fight? What fair fight?
Ashiok, Nightmare Weaver|Ashiok's Identity|I subscribe to the theory of blank slate!
Chandra Ablaze|Chandra's Bargain|I feel like I've seen those before...
Chandra Nalaar|Chandra's Rage|Feel the power of my wrath!
Chandra, Flamecaller|Chandra's Sea of Flames|You didn't activate this for 0 just to get the achievement, did you?
Chandra, Pyrogenius|Chandra's Warm Embrace|Did I say 'warm'? I meant 'red hot'.
Chandra, Pyromaster|Chandra's Vengeance|Please file in triplicate!
Chandra, Roaring Flame|Chandra's Roar|The opponent continues to burn...
Chandra, the Firebrand|Chandra's Hex|When burning five is just not enough.
Chandra, Torch of Defiance|Chandra's Defiance|Let's torch it!
Dack Fayden|Dack's Discount|Do you have any evidence it was me?
Daretti, Ingenious Iconoclast|Daretti's Mass Production|Imitation is the sincerest form of irritation.
Daretti, Scrap Savant|Daretti's Recycler|Save the environment!
Domri Rade|Domri's Surprise|That's GOTTA get me a date!
Dovin Baan|Dovin's Static|Have you tried to turn it off and on again?
Elspeth Tirel|Elspeth's Solitude|Tokens are my only friends...
Elspeth, Knight-Errant|Elspeth's Endurance|Bant will prevail!
Elspeth, Sun's Champion|Elspeth's Crusade|With Heliod on my side, I'm invincible!
Freyalise, Llanowar's Fury|Freyalise's Big Party|Let's celebrate each and every one of you!
Garruk, the Veil-Cursed|Garruk's Graveyard|The dead shall help the living!
Garruk Wildspeaker|Garruk's Overrun|I speak seven languages, including Wild!
Garruk, Apex Predator|Garruk's Prey|Funny, it's usually a good thing to have an emblem...
Garruk, Caller of Beasts|Garruk's Wild Pair|Can you beat two for the price of one?
Garruk, Primal Hunter|Garruk's Garden|They came out after a rain...
Gideon Jura|Gideon's Brawl|Are you man enough to mess with me?
Gideon of the Trials|Gideon's Eternity|Justice will never die!
Gideon, Ally of Zendikar|Gideon's Anthem|Giddy up! Let's all rally against the Eldrazi threat!
Gideon, Battle-Forged|Gideon's First Steps|I still have a long road ahead of me...
Gideon, Champion of Justice|Gideon's Aftermath|Gideon stands alone!
Gideon, Martial Paragon|Gideon's Alpha Strike|Geronimo!
Jace Beleren|Jace's Grind|Nice memories... not!
Jace, Architect of Thought|Jace's Incantation|I like that one. I'll steal it!
Jace, Memory Adept|Jace's Revelation|So many things to learn!
Jace, Telepath Unbound|Jace's Erasure|First empty your mind and then... nope, that's it.
Jace, the Living Guildpact|Jace's Timetwister|Symmetry? What symmetry?
Jace, the Mind Sculptor|Jace's Lobotomy|What do you mean, "overpowered"?
Jace, Unraveler of Secrets|Jace's Perfect Plan|So, I've read about this neat guy named Erayo...
Karn Liberated|Karn's Reset|Let's do this again!
Kaya, Ghost Assassin|Kaya's Syphon|You don't MIND, do you?
Kiora, Master of the Depths|Kiora's Fight Club|First rule is not to talk about the sucker punches
Kiora, the Crashing Wave|Kiora's Kraken|Say hello to Cthulhu for me!
Koth of the Hammer|Koth's Eruption|You won't like the mountains when they are angry!
Liliana Vess|Liliana's Bidding|Stop being lazy and go to work!
Liliana of the Dark Realms|Liliana's Ritual|What do you mean, "out of character"?
Liliana of the Veil|Liliana's Choice|Which one of your children do you love best?
Liliana, Death's Majesty|Liliana's Wrath|Everybody died... except for those who were already dead.
Liliana, Death Wielder|Liliana's Mass Raise|Death is no excuse to stop working.
Liliana, Defiant Necromancer|Liliana's Necromastery|Come join the Dark Side...
Liliana, the Last Hope|Liliana's Army|The dead will always outnumber the living...
