Ajani Goldmane|Ajani's Avatar|Serra? Is that you?
Ajani Steadfast|Ajani's Forcefield|Shields up!
Ajani Unyielding|Ajani's Mentoring|Today's lesson: How to be strong.
Ajani Vengeant|Ajani's Tantrum|Look Ma! No lands!
Ajani, Adversary of Tyrants|Ajani's House of Cats|Here, kitty, kitty, kitty...
Ajani, Caller of the Pride|Ajani's Menagerie|You're a crazy cat lady now!
Ajani, Inspiring Leader|Ajani's Leap of Faith|Cats from above!
Ajani, Mentor of Heroes|Ajani's Vitality|Do sta let!
Ajani, Sleeper Agent|Ajani's Progress|Every step brings us closer to perfection.
Ajani, Strength of the Pride|Ajani's Obliteration|A defiant roar... then silence.
Ajani, Valiant Protector|Ajani's Valiant Smash|Sometimes, life can be brutal.
Ajani, Wise Counselor|Ajani's Mega-growth|Let's just pile these on...
Aminatou, the Fateshifter|Aminatou's Twist of Fate|Let's shuffle this a bit.
Angrath, Minotaur Pirate|Angrath's Massacre|All we have to do is kill everyone who tries to steal Orazca from our grasp.
Angrath, the Flame-Chained|Angrath's Torture|If you will not tell me where the Immortal Sun is, knight, then you will die.
Archangel Elspeth|Elspeth's Mass Reanimation|Rise and Shine!
Arlinn, Embraced by the Moon|Arlinn's Hunt|Fair fight? What fair fight?
Ashiok, Nightmare Muse|Ashiok's Subconscious|It's wonderful what you find when you look to places that don't exist!
Ashiok, Nightmare Weaver|Ashiok's Identity|I subscribe to the theory of blank slate!
Ashiok, Sculptor of Fears|Ashiok's Collection|They followed me home. Can I keep them?
Ashiok, Wicked Manipulator|Ashiok's Oblivion|I have seen nothingness before. Let me guide you.
Basri Ket|Basri's Army of Solidarity|Each new convert strengthens us all.
Basri, Devoted Paladin|Basri's Mighty Leap|Soar on the wings of faith.
Calix, Destiny's Hand|Calix's Replenish|We're all cut of the same Klothys, after all.
Chandra Ablaze|Chandra's Bargain|I feel like I've seen those before...
Chandra Nalaar|Chandra's Rage|Feel the power of my wrath!
Chandra, Awakened Inferno|Chandra's Utter Disintegration|Is it hot here or is it just me?
Chandra, Bold Pyromancer|Chandra's Flame Wave|Let's have a campfire!
Chandra, Dressed to Kill|Chandra's Red Wedding|She's pretty in pink, cute in crimson, and mighty in maroon.
Chandra, Fire Artisan|Chandra's Fiery Rush|Combo time!
Chandra, Flame's Catalyst|Chandra's Sudden Epiphany|Forget everything you know and believe that everything is possible.
Chandra, Flame's Fury|Chandra's Lake of Flame|Come in! The fire's great!
Chandra, Flamecaller|Chandra's Sea of Flames|You didn't activate this for 0 just to get the achievement, did you?
Chandra, Heart of Fire|Chandra's Fistfuls of Fire|Don't worry. I brought enough for everyone.
Chandra, Hope's Beacon|Chandra's Dual Fire|Double the targets, double the fun!
Chandra, Pyrogenius|Chandra's Warm Embrace|Did I say 'warm'? I meant 'red hot'.
Chandra, Pyromaster|Chandra's Vengeance|Please file in triplicate!
Chandra, Roaring Flame|Chandra's Roar|The opponent continues to burn...
Chandra, the Firebrand|Chandra's Hex|When burning five is just not enough.
Chandra, Torch of Defiance|Chandra's Defiance|Let's torch it!
Dack Fayden|Dack's Discount|Do you have any evidence it was me?
Dakkon, Shadow Slayer|Dakkon's Masterpiece|I put lots of my sweat and other people's blood into it.
Daretti, Ingenious Iconoclast|Daretti's Mass Production|Imitation is the sincerest form of irritation.
Daretti, Scrap Savant|Daretti's Recycler|Save the environment!
Dihada, Binder of Wills|Dihada's Absolute Control|Resisting? Not one of your brightest ideas.
Domri Rade|Domri's Surprise|That's GOTTA get me a date!
Domri, Chaos Bringer|Domri's Wild Army|Let's have a team-destroying exercise!
Domri, City Smasher|Domri's Overrun|You may feel a slight sensation of burning rage.
Dovin Baan|Dovin's Static|Have you tried to turn it off and on again?
Dovin, Architect of Law|Dovin's Freeze|With one gear out of place, the whole machine grinds to halt.
Dovin, Grand Arbiter|Dovin's Modern Recall|The best solutions for the worst problems.
